IDчека,Дата и время,ИНН,IDПользователя,Товар,Бренд,Теги,Цена,Кол-во,Сумма,Кэшбэк
0267403b189eeb0101adab6252f96f0b,08.11.2019 19:19,2310031475,aa99fb09cec1bfb959a7a2c9c7f9a3a4,sanfor для труб 5 минут 750г(ступинский хим заво,sanfor,,89.1,1.0,89.1,
0267403b189eeb0101adab6252f96f0b,08.11.2019 19:19,2310031475,aa99fb09cec1bfb959a7a2c9c7f9a3a4,пакет магнит косметик мал(пластиктрейд):300/2700,магнит косметик,упаковка; пакеты; прочее,3.9,1.0,3.9,
0267540ced54850e7b0defdb558d3f6c,15.12.2019 12:58,2310031475,e1c00685ac315fa0ed619ce2755a4f5a,head&shoulders шампунь 2в1 основной уход 600 мл(,head&shoulders,красота и здоровье; шампунь для волос; гигиена волос,279.2,1.0,279.2,27.92
0267540ced54850e7b0defdb558d3f6c,15.12.2019 12:58,2310031475,e1c00685ac315fa0ed619ce2755a4f5a,lenor скандинавская весна 4000г(проктерэндгэмбел,lenor,хозяйственные товары; кондиционер для белья; уход за бельем,249.0,1.0,249.0,24.9
0267540ced54850e7b0defdb558d3f6c,15.12.2019 12:58,2310031475,e1c00685ac315fa0ed619ce2755a4f5a,persil гель-концентрат для стирки 40 стирок(хенк,persil,уход за бельем; хозяйственные товары; гель для стирки,509.0,1.0,509.0,
0267540ced54850e7b0defdb558d3f6c,15.12.2019 12:58,2310031475,e1c00685ac315fa0ed619ce2755a4f5a,splat professional з/п лечебные травы 100мл(спла,splat,красота и здоровье; уход за полостью рта; зубная паста,90.2,1.0,90.2,
0267540ced54850e7b0defdb558d3f6c,15.12.2019 12:58,2310031475,e1c00685ac315fa0ed619ce2755a4f5a,карта лояльности магнит,магнит,прочее; лояльность,0.0,1.0,0.0,
0267540ced54850e7b0defdb558d3f6c,15.12.2019 12:58,2310031475,e1c00685ac315fa0ed619ce2755a4f5a,пакет магнит косметик мал(пластиктрейд):300/2700,магнит косметик,упаковка; пакеты; прочее,3.12,1.0,3.12,
0267674d9da6153e6367e51b4592772a,16.01.2020 17:36,2310031475,5298b788239512e1aa5d5258208d8467,bella cotton ватные палочки 100 шт полиэт мед 10,,,19.9,2.0,39.8,
0267674d9da6153e6367e51b4592772a,16.01.2020 17:36,2310031475,5298b788239512e1aa5d5258208d8467,head&shoulders шампунь цитрусовая свеж 400мл (пр,head&shoulders,шампунь для волос; красота и здоровье; гигиена волос,199.0,1.0,199.0,19.9
0267674d9da6153e6367e51b4592772a,16.01.2020 17:36,2310031475,5298b788239512e1aa5d5258208d8467,soft ватные диски 120 шт п/п (коттон клаб):35,,,53.9,1.0,53.9,
0267674d9da6153e6367e51b4592772a,16.01.2020 17:36,2310031475,5298b788239512e1aa5d5258208d8467,дегтярное т/мыло 140г(невская косметика):4/48,,твердое мыло; мыло; красота и здоровье; личная гигиена,33.0,1.0,33.0,
0268756233f2e6a322612f40609b44fe,09.12.2019 15:16,2310031475,de97e7bbd0b326b13363933919ceee0b,discreet deo ежедн прокладки water,discreet,прокладки; личная гигиена; красота и здоровье,57.9,1.0,57.9,7.79
0268756233f2e6a322612f40609b44fe,09.12.2019 15:16,2310031475,de97e7bbd0b326b13363933919ceee0b,pate grand-mere паштет печен ферм,,паштет; мясо/рыба; продукты; мясные деликатесы,53.5,1.0,53.5,
0268756233f2e6a322612f40609b44fe,09.12.2019 15:16,2310031475,de97e7bbd0b326b13363933919ceee0b,виола сыр плавленый сливочный сегм,,сыр; молоко/сыр/яйца; продукты; плавленный,54.9,1.0,54.9,
0268756233f2e6a322612f40609b44fe,09.12.2019 15:16,2310031475,de97e7bbd0b326b13363933919ceee0b,вино каберне мерло к мясу красное,,,299.0,1.0,299.0,
0268756233f2e6a322612f40609b44fe,09.12.2019 15:16,2310031475,de97e7bbd0b326b13363933919ceee0b,доброфлот скумбрия нат с доб/масл,,,84.9,1.0,84.9,
0268756233f2e6a322612f40609b44fe,09.12.2019 15:16,2310031475,de97e7bbd0b326b13363933919ceee0b,ореховая роща коктейль сух/орехи 1,,,99.9,1.0,99.9,
0268756233f2e6a322612f40609b44fe,09.12.2019 15:16,2310031475,de97e7bbd0b326b13363933919ceee0b,пакет-майка магнит,,,4.9,1.0,4.9,
0268756233f2e6a322612f40609b44fe,09.12.2019 15:16,2310031475,de97e7bbd0b326b13363933919ceee0b,спаржа по-корейски 200г пл/бан :6,,,54.4,1.0,54.4,
0268756233f2e6a322612f40609b44fe,09.12.2019 15:16,2310031475,de97e7bbd0b326b13363933919ceee0b,сыр голландский премиум нарезка 45,,сыр; продукты; молоко/сыр/яйца,94.3,1.0,94.3,
0268756233f2e6a322612f40609b44fe,09.12.2019 15:16,2310031475,de97e7bbd0b326b13363933919ceee0b,хлеб деревенский с семечками ржан-,,,29.9,1.0,29.9,
0268e7d696b8cbd3f04c40eca8ca60b9,08.11.2019 21:54,2310031475,d9ca1fce4e1c701059cc0e785555fd3c,"fuzetea чай лимон/лемонграсс 0,5л",,,62.9,1.0,62.9,
0268e7d696b8cbd3f04c40eca8ca60b9,08.11.2019 21:54,2310031475,d9ca1fce4e1c701059cc0e785555fd3c,head&shoulders шампунь 2в1осн уход,head&shoulders,шампунь для волос; красота и здоровье; гигиена волос,319.9,1.0,319.9,31.99
